Date,Year,Month,Country,State,Region,Confirmed_Cases,Malaria_Deaths,Malaria_Incidence_per_1000,Season(Dry/Rainy),Mortality Rate(%),Quarter
Jan-2000,2000,January,Nigeria,Kano,North West,341527,1384,39.02,Dry,0.41,1
Jan-2000,2000,January,Nigeria,Kaduna,North West,203304,959,38.75,Dry,0.47,1
Jan-2000,2000,January,Nigeria,Borno,North East,90533,592,25.5,Dry,0.65,1
Jan-2000,2000,January,Nigeria,Kwara,North Central,15363,59,7.45,Dry,0.38,1
Jan-2000,2000,January,Nigeria,Lagos,South West,189938,407,20.71,Dry,0.21,1
Jan-2000,2000,January,Nigeria,Ogun,South West,75653,311,20.42,Dry,0.41,1
Jan-2000,2000,January,Nigeria,Rivers,South South,97092,417,22.36,Dry,0.43,1
Jan-2000,2000,January,Nigeria,Enugu,South East,70908,266,26.03,Dry,0.38,1
Feb-2000,2000,February,Nigeria,Kano,North West,305139,1619,34.86,Dry,0.53,1
Feb-2000,2000,February,Nigeria,Kaduna,North West,193343,1042,36.85,Dry,0.54,1
Feb-2000,2000,February,Nigeria,Borno,North East,79789,395,22.48,Dry,0.50,1
Feb-2000,2000,February,Nigeria,Kwara,North Central,16194,52,7.85,Dry,0.32,1
Feb-2000,2000,February,Nigeria,Lagos,South West,153163,369,16.7,Dry,0.24,1
Feb-2000,2000,February,Nigeria,Ogun,South West,65991,261,17.81,Dry,0.40,1
Feb-2000,2000,February,Nigeria,Rivers,South South,88330,328,20.34,Dry,0.37,1
Feb-2000,2000,February,Nigeria,Enugu,South East,61059,284,22.41,Dry,0.47,1
Mar-2000,2000,March,Nigeria,Kano,North West,310942,1087,35.52,Dry,0.35,1
Mar-2000,2000,March,Nigeria,Kaduna,North West,173681,683,33.1,Dry,0.39,1
Mar-2000,2000,March,Nigeria,Borno,North East,80237,414,22.6,Dry,0.52,1
Mar-2000,2000,March,Nigeria,Kwara,North Central,13584,46,6.59,Dry,0.34,1
Mar-2000,2000,March,Nigeria,Lagos,South West,173432,530,18.91,Dry,0.31,1
Mar-2000,2000,March,Nigeria,Ogun,South West,75823,315,20.46,Dry,0.42,1
Mar-2000,2000,March,Nigeria,Rivers,South South,80598,294,18.56,Dry,0.36,1
Mar-2000,2000,March,Nigeria,Enugu,South East,64469,233,23.66,Dry,0.36,1
Apr-2000,2000,April,Nigeria,Kano,North West,241438,1196,27.58,Rainy,0.50,2
Apr-2000,2000,April,Nigeria,Kaduna,North West,151184,763,28.82,Rainy,0.50,2
Apr-2000,2000,April,Nigeria,Borno,North East,68250,450,19.23,Rainy,0.66,2
Apr-2000,2000,April,Nigeria,Kwara,North Central,11414,49,5.53,Rainy,0.43,2
Apr-2000,2000,April,Nigeria,Lagos,South West,131714,347,14.36,Rainy,0.26,2
Apr-2000,2000,April,Nigeria,Ogun,South West,50643,234,13.67,Rainy,0.46,2
Apr-2000,2000,April,Nigeria,Rivers,South South,62735,232,14.45,Rainy,0.37,2
Apr-2000,2000,April,Nigeria,Enugu,South East,49376,191,18.12,Rainy,0.39,2
May-2000,2000,May,Nigeria,Kano,North West,336412,2081,38.43,Rainy,0.62,2
May-2000,2000,May,Nigeria,Kaduna,North West,180883,815,34.48,Rainy,0.45,2
May-2000,2000,May,Nigeria,Borno,North East,101290,534,28.53,Rainy,0.53,2
May-2000,2000,May,Nigeria,Kwara,North Central,15152,65,7.35,Rainy,0.43,2
May-2000,2000,May,Nigeria,Lagos,South West,175945,388,19.18,Rainy,0.22,2
May-2000,2000,May,Nigeria,Ogun,South West,76207,238,20.57,Rainy,0.31,2
May-2000,2000,May,Nigeria,Rivers,South South,101242,379,23.31,Rainy,0.37,2
May-2000,2000,May,Nigeria,Enugu,South East,58795,257,21.58,Rainy,0.44,2
Jun-2000,2000,June,Nigeria,Kano,North West,357284,1278,40.82,Rainy,0.36,2
Jun-2000,2000,June,Nigeria,Kaduna,North West,236177,1121,45.02,Rainy,0.47,2
Jun-2000,2000,June,Nigeria,Borno,North East,107366,570,30.24,Rainy,0.53,2
Jun-2000,2000,June,Nigeria,Kwara,North Central,18290,85,8.87,Rainy,0.46,2
Jun-2000,2000,June,Nigeria,Lagos,South West,220262,737,24.02,Rainy,0.33,2
Jun-2000,2000,June,Nigeria,Ogun,South West,94463,299,25.49,Rainy,0.32,2
Jun-2000,2000,June,Nigeria,Rivers,South South,109330,497,25.17,Rainy,0.45,2
Jun-2000,2000,June,Nigeria,Enugu,South East,81719,281,30,Rainy,0.34,2
Jul-2000,2000,July,Nigeria,Kano,North West,447159,1921,51.09,Rainy,0.43,3
Jul-2000,2000,July,Nigeria,Kaduna,North West,285750,1361,54.47,Rainy,0.48,3
Jul-2000,2000,July,Nigeria,Borno,North East,119922,784,33.78,Rainy,0.65,3
Jul-2000,2000,July,Nigeria,Kwara,North Central,23655,92,11.47,Rainy,0.39,3
Jul-2000,2000,July,Nigeria,Lagos,South West,290332,696,31.66,Rainy,0.24,3
Jul-2000,2000,July,Nigeria,Ogun,South West,103691,510,27.98,Rainy,0.49,3
Jul-2000,2000,July,Nigeria,Rivers,South South,132262,467,30.45,Rainy,0.35,3
Jul-2000,2000,July,Nigeria,Enugu,South East,75934,174,27.87,Rainy,0.23,3
Aug-2000,2000,August,Nigeria,Kano,North West,472533,2211,53.98,Rainy,0.47,3
Aug-2000,2000,August,Nigeria,Kaduna,North West,297912,1816,56.78,Rainy,0.61,3
Aug-2000,2000,August,Nigeria,Borno,North East,124756,853,35.14,Rainy,0.68,3
Aug-2000,2000,August,Nigeria,Kwara,North Central,25951,79,12.58,Rainy,0.30,3
Aug-2000,2000,August,Nigeria,Lagos,South West,280160,852,30.55,Rainy,0.30,3
Aug-2000,2000,August,Nigeria,Ogun,South West,109345,405,29.51,Rainy,0.37,3
Aug-2000,2000,August,Nigeria,Rivers,South South,132473,550,30.5,Rainy,0.42,3
Aug-2000,2000,August,Nigeria,Enugu,South East,100603,484,36.93,Rainy,0.48,3
Sep-2000,2000,September,Nigeria,Kano,North West,666361,3331,76.13,Rainy,0.50,3
Sep-2000,2000,September,Nigeria,Kaduna,North West,392089,2131,74.73,Rainy,0.54,3
Sep-2000,2000,September,Nigeria,Borno,North East,155869,904,43.91,Rainy,0.58,3
Sep-2000,2000,September,Nigeria,Kwara,North Central,26621,120,12.91,Rainy,0.45,3
Sep-2000,2000,September,Nigeria,Lagos,South West,330105,817,35.99,Rainy,0.25,3
Sep-2000,2000,September,Nigeria,Ogun,South West,128281,676,34.62,Rainy,0.53,3
Sep-2000,2000,September,Nigeria,Rivers,South South,198430,897,45.69,Rainy,0.45,3
Sep-2000,2000,September,Nigeria,Enugu,South East,129229,480,47.44,Rainy,0.37,3
Oct-2000,2000,October,Nigeria,Kano,North West,562829,2426,64.3,Rainy,0.43,4
Oct-2000,2000,October,Nigeria,Kaduna,North West,350502,1886,66.81,Rainy,0.54,4
Oct-2000,2000,October,Nigeria,Borno,North East,164302,1373,46.28,Rainy,0.84,4
Oct-2000,2000,October,Nigeria,Kwara,North Central,24972,105,12.11,Rainy,0.42,4
Oct-2000,2000,October,Nigeria,Lagos,South West,319150,926,34.8,Rainy,0.29,4
Oct-2000,2000,October,Nigeria,Ogun,South West,106155,396,28.65,Rainy,0.37,4
Oct-2000,2000,October,Nigeria,Rivers,South South,173840,426,40.03,Rainy,0.25,4
